hold_id,u_ss_v,u_prev_v,du_v,branch,n_samples,tail_fraction_used,tail_n_samples,s_ss_mm,p_ss_bar,s_tail_std_mm,p_tail_std_bar,s_tail_slope_mm_s,p_tail_slope_bar_s,steady_enough,dataset_role
111,5.807,6.536,-0.7289999999999992,down,400,0.05,20,21.94,3.14,0.0,0.0,0.0,0.0,True,single_design_dataset
112,4.182,5.807,-1.625,down,400,0.05,20,14.0,2.1599999999999993,0.0,8.881784197001252e-16,0.0,0.0,True,single_design_dataset
113,6.503,4.182,2.3209999999999997,up,400,0.05,20,24.278,3.5400000000000005,0.008717797887081161,4.440892098500626e-16,0.19999999999999574,0.0,True,single_design_dataset
114,6.118,6.503,-0.3849999999999998,down,400,0.05,20,23.360000000000003,3.3199999999999994,3.552713678800501e-15,4.440892098500626e-16,0.0,0.0,True,single_design_dataset
115,4.213,6.118,-1.9050000000000002,down,400,0.05,20,14.342999999999998,2.18,0.007141428428542696,0.0,-0.09999999999999787,0.0,True,single_design_dataset
116,4.895,4.213,0.6819999999999995,up,400,0.05,20,16.687999999999995,2.5799999999999996,0.009797958971132503,4.440892098500626e-16,0.09999999999999787,0.0,True,single_design_dataset
117,6.5,4.895,1.6050000000000004,up,400,0.05,20,24.331999999999994,3.5400000000000005,0.009797958971132503,4.440892098500626e-16,0.09999999999999787,0.0,True,single_design_dataset
118,3.794,6.5,-2.706,down,400,0.05,20,12.391,1.9200000000000004,0.009949874371065986,4.440892098500626e-16,-0.09999999999999787,0.0,True,single_design_dataset
119,6.99,3.794,3.196,up,400,0.05,20,26.572999999999997,3.8400000000000007,0.009539392014169255,8.881784197001252e-16,0.09999999999999787,0.0,True,single_design_dataset
120,4.456,6.99,-2.534,down,400,0.05,20,15.607000000000005,2.32,0.009539392014169253,0.0,-0.09999999999999787,0.0,True,single_design_dataset
121,3.285,4.456,-1.1710000000000003,down,400,0.05,20,10.089000000000002,1.6200000000000003,0.009949874371065986,2.220446049250313e-16,-0.09999999999999787,0.0,True,single_design_dataset
122,2.259,3.285,-1.0260000000000002,down,400,0.05,20,6.122000000000002,1.0,0.005999999999999873,0.0,-0.09999999999999787,0.0,True,single_design_dataset
123,3.012,2.259,0.7530000000000001,up,400,0.05,20,7.860000000000002,1.4600000000000002,1.7763568394002505e-15,2.220446049250313e-16,0.0,0.0,True,single_design_dataset
124,2.319,3.012,-0.6930000000000001,down,400,0.05,20,6.034999999999999,1.0399999999999998,0.008660254037844586,2.220446049250313e-16,-0.10000000000000231,0.0,True,single_design_dataset
125,0.998,2.319,-1.321,down,400,0.05,20,2.3819999999999997,0.25600000000000006,0.014000000000000012,0.008000000000000007,-0.20000000000000018,-0.10000000000000009,True,single_design_dataset
126,2.439,0.998,1.441,up,400,0.05,20,5.36,1.1000000000000003,0.0,2.220446049250313e-16,0.0,0.0,True,single_design_dataset
127,1.35,2.439,-1.089,down,400,0.05,20,2.9230000000000005,0.45100000000000007,0.007141428428542856,0.009949874371066208,-0.10000000000000009,0.10000000000000009,True,single_design_dataset
128,2.591,1.35,1.241,up,400,0.05,20,5.64,1.1999999999999997,0.0,2.220446049250313e-16,0.0,0.0,True,single_design_dataset
129,1.149,2.591,-1.4420000000000002,down,400,0.05,20,2.4599999999999995,0.33100000000000007,0.014142135623730963,0.00994987437106621,-0.20000000000000018,-0.10000000000000009,True,single_design_dataset
130,6.369,1.149,5.22,up,400,0.05,20,22.628,3.4599999999999995,0.014696938456698755,4.440892098500626e-16,0.2999999999999936,0.0,True,single_design_dataset
131,4.273,6.369,-2.096,down,400,0.05,20,13.559999999999999,2.2000000000000006,1.7763568394002505e-15,4.440892098500626e-16,0.0,0.0,True,single_design_dataset
132,2.511,4.273,-1.7619999999999996,down,400,0.05,20,6.459999999999999,1.16,8.881784197001252e-16,0.0,0.0,0.0,True,single_design_dataset
133,3.419,2.511,0.9079999999999999,up,400,0.05,20,8.860000000000003,1.7,3.552713678800501e-15,0.0,0.0,0.0,True,single_design_dataset
134,4.074,3.419,0.6549999999999998,up,400,0.05,20,11.400000000000002,2.1000000000000005,1.7763568394002505e-15,4.440892098500626e-16,0.0,0.0,True,single_design_dataset
135,1.595,4.074,-2.479,down,400,0.05,20,3.724,0.5919999999999999,0.008000000000000007,0.009797958971132722,-0.10000000000000009,0.0,True,single_design_dataset
136,2.495,1.595,0.9000000000000001,up,400,0.05,20,5.5600000000000005,1.1400000000000001,8.881784197001252e-16,2.220446049250313e-16,0.0,0.0,True,single_design_dataset
137,1.036,2.495,-1.459,down,400,0.05,20,2.2679999999999993,0.27399999999999997,0.011661903789690559,0.009165151389911688,-0.19999999999999796,-0.10000000000000009,True,single_design_dataset
