hold_id,branch,n_samples,full_modal_n,is_full_hold,u_prev_v,u_cmd_v,delta_u_v,duration_s,tail_n_samples,s_start_mm,s_terminal_mm,p_start_bar,p_terminal_bar,displacement_step_mm,s_terminal_sd_mm,p_terminal_sd_bar,s_terminal_slope_mm_s,p_terminal_slope_bar_s,accepted_for_creep,exclusion_reason
15,down,400,400,TRUE,6.087,3.795,-2.292,4,20,21.86,11.664,3.3,1.92,-10.196,0.012311740225021586,0,-0.1804511278195445,0,TRUE,NA
16,up,400,400,TRUE,3.795,4.877,1.0819999999999999,4,20,11.64,15.62,1.92,2.58,3.9799999999999986,0,0,0,0,TRUE,NA
17,down,400,400,TRUE,4.877,3.982,-0.8949999999999996,4,20,15.62,12.315000000000001,2.58,2.04,-3.304999999999998,0.008885233166386196,0,-0.11278195488722213,0,TRUE,NA
18,down,400,400,TRUE,3.982,3.247,-0.7350000000000003,4,20,12.3,9.159,2.04,1.6,-3.141,0.004472135954999484,0,-0.028571428571418426,0,TRUE,NA
19,down,400,400,TRUE,3.247,2.857,-0.3899999999999997,4,20,9.14,7.54,1.6,1.36,-1.6000000000000005,0,0,0,0,TRUE,NA
20,down,400,400,TRUE,2.857,1.62,-1.237,4,20,7.54,3.64,1.36,0.62,-3.9,0,0,0,0,TRUE,NA
21,up,400,400,TRUE,1.62,4.532,2.912,4,20,3.64,12.898,0.62,2.36,9.258,0.006155870112510793,0,0.05413533834584623,0,TRUE,NA
22,down,400,400,TRUE,4.532,3.142,-1.3900000000000001,4,20,12.92,8.242,2.36,1.54,-4.677999999999999,0.006155870112510793,0,-0.0511278195488676,0,TRUE,NA
23,down,400,400,TRUE,3.142,2.808,-0.3340000000000001,4,20,8.24,7.06,1.54,1.34,-1.1800000000000006,0,0,0,0,FALSE,small_command_step
24,up,400,400,TRUE,2.808,3.745,0.9370000000000003,4,20,7.06,9.7,1.34,1.9,2.6399999999999997,0,0,0,0,TRUE,NA
25,down,400,400,TRUE,3.745,3.212,-0.5329999999999999,4,20,9.7,8.32,1.9,1.58,-1.379999999999999,0,0,0,0,TRUE,NA
26,down,400,400,TRUE,3.212,2.608,-0.6040000000000001,4,20,8.32,6.414,1.58,1.22,-1.9060000000000006,0.009403246919632345,0,-0.12631578947368266,0,TRUE,NA
27,up,400,400,TRUE,2.608,3.227,0.6189999999999998,4,20,6.4,7.82,1.22,1.58,1.42,0,0,0,0,TRUE,NA
28,down,400,400,TRUE,3.227,2.16,-1.0669999999999997,4,20,7.82,5,1.58,0.94,-2.8200000000000003,0,0,0,0,TRUE,NA
29,up,400,400,TRUE,2.16,4.834,2.6739999999999995,4,20,4.98,14.009,0.94,2.54,9.029,0.010208355710680591,0,0.14887218045113093,0,TRUE,NA
30,up,400,400,TRUE,4.834,6.804,1.9700000000000006,4,20,14.02,24.407,2.54,3.74,10.387,0.011742858972249403,0,0.17293233082707002,0,TRUE,NA
31,down,400,400,TRUE,6.804,5.135,-1.6690000000000005,4,20,24.42,17.68,3.74,2.74,-6.740000000000002,0,0,0,0,TRUE,NA
32,up,400,400,TRUE,5.135,6.906,1.771,4,20,17.68,25.291,2.74,3.8,7.611000000000001,0.010208355710680591,0,0.14887218045111858,0,TRUE,NA
33,down,400,400,TRUE,6.906,4.717,-2.189,4,20,25.3,16.038,3.8,2.48,-9.262,0.006155870112510793,0,-0.054135338345863086,0,TRUE,NA
34,up,400,400,TRUE,4.717,5.046,0.3290000000000006,4,20,16.02,16.9,2.48,2.68,0.879999999999999,0,0,0,0,FALSE,small_command_step
35,up,400,400,TRUE,5.046,5.709,0.6629999999999994,4,20,16.9,19.92,2.68,3.08,3.020000000000003,0,0,0,0,TRUE,NA
36,down,400,400,TRUE,5.709,3.634,-2.0749999999999997,4,20,19.92,10.92,3.08,1.82,-9.000000000000002,0.009176629354822274,0,-0.10827067669173711,0,TRUE,NA
37,up,400,400,TRUE,3.634,3.976,0.3420000000000001,4,20,10.9,11.72,1.82,2.04,0.8200000000000003,0,0,0,0,FALSE,small_command_step
38,up,400,400,TRUE,3.976,4.873,0.8970000000000002,4,20,11.72,15.363,2.04,2.58,3.642999999999999,0.007326950970650959,0,0.07669172932331439,0,TRUE,NA
39,down,400,400,TRUE,4.873,3.347,-1.5260000000000002,4,20,15.38,9.610999999999999,2.58,1.66,-5.769000000000002,0.010208355710680591,0,-0.14887218045113798,0,TRUE,NA
40,up,400,400,TRUE,3.347,3.736,0.38900000000000023,4,20,9.6,10.52,1.66,1.88,0.9199999999999999,0,0,0,0,FALSE,small_displacement_step
41,down,400,400,TRUE,3.736,2.013,-1.7230000000000003,4,20,10.52,4.893,1.88,0.86,-5.627,0.009787209698592083,0,-0.13684210526315557,0,TRUE,NA
42,up,400,400,TRUE,2.013,4.638,2.625,4,20,4.88,13.64,0.86,2.44,8.760000000000002,0,0,0,0,TRUE,NA
43,down,400,400,TRUE,4.638,1.982,-2.6559999999999997,4,20,13.66,4.76,2.44,0.84,-8.9,0,0,0,0,TRUE,NA
44,up,400,400,TRUE,1.982,3.311,1.329,4,20,4.76,8.14,0.84,1.62,3.380000000000001,0,0,0,0,TRUE,NA
45,down,400,400,TRUE,3.311,2.371,-0.94,4,20,8.14,5.68,1.62,1.08,-2.460000000000001,0,0,0,0,TRUE,NA
46,down,400,400,TRUE,2.371,1.872,-0.4989999999999999,4,20,5.68,4.24,1.08,0.78,-1.4399999999999995,0,0,0,0,TRUE,NA
47,up,400,400,TRUE,1.872,3.38,1.5079999999999998,4,20,4.24,8.107,0.78,1.68,3.866999999999999,0.00978720969859165,0,0.136842105263146,0,TRUE,NA
48,down,400,400,TRUE,3.38,1.526,-1.8539999999999999,4,20,8.12,3.28,1.68,0.56,-4.84,0,0,0,0,TRUE,NA
49,up,400,400,TRUE,1.526,4.813,3.287,4,20,3.28,13.921,0.56,2.54,10.641,0.010208355710680591,0,0.13082706766916577,0,TRUE,NA
50,down,400,400,TRUE,4.813,1.669,-3.1439999999999997,4,20,13.94,3.681,2.54,0.65,-10.259,0.004472135954999583,0.01025978352085155,-0.028571428571422752,0.15037593984962463,TRUE,NA
51,up,400,400,TRUE,1.669,4.066,2.397,4,20,3.68,10.673,0.66,2.08,6.993,0.00978720969859165,0,0.13684210526316426,0,TRUE,NA
52,up,400,400,TRUE,4.066,5.064,0.9980000000000002,4,20,10.68,15.35,2.08,2.68,4.67,0.010259783520851322,0,0.1503759398495907,0,TRUE,NA
