hold_id,u_ss_v,u_prev_v,du_v,branch,n_samples,tail_fraction_used,tail_n_samples,s_ss_mm,p_ss_bar,s_tail_std_mm,p_tail_std_bar,s_tail_slope_mm_s,p_tail_slope_bar_s,steady_enough,u_ff_v,p_ff_bar,u_abs_error_v,p_abs_error_bar,dataset_role
3,2.053,4.074,-2.021,down,400,0.05,20,4.263000000000001,0.8800000000000001,0.007141428428543015,1.1102230246251565e-16,-0.10000000000000231,0.0,True,1.6335929848113195,0.613604341114209,0.4194070151886804,0.2663956588857911,single_design_dataset
4,1.538,2.053,-0.5149999999999999,down,400,0.05,20,2.919,0.58,0.004358898943540677,0.0,0.0,0.0,True,1.1541138602323477,0.3380803302346649,0.3838861397676523,0.24191966976533508,single_design_dataset
7,5.764,6.557,-0.7930000000000001,down,400,0.05,20,19.68,3.1199999999999997,0.0,4.440892098500626e-16,0.0,0.0,True,5.248383271818239,2.7944302161538075,0.5156167281817616,0.3255697838461922,single_design_dataset
10,6.548,7.088,-0.54,down,400,0.05,20,24.5,3.5799999999999996,0.0,4.440892098500626e-16,0.0,0.0,True,6.248770876474495,3.3964729850971382,0.2992291235255049,0.18352701490286139,single_design_dataset
11,5.598,6.548,-0.9500000000000002,down,400,0.05,20,20.480000000000004,3.0200000000000005,3.552713678800501e-15,4.440892098500626e-16,0.0,0.0,True,5.359177961385307,2.8557029622002683,0.23882203861469264,0.16429703779973215,single_design_dataset
13,4.968,6.232,-1.2640000000000002,down,400,0.05,20,17.433000000000003,2.6350000000000002,0.009539392014169255,0.008660254037844393,-0.09999999999999787,0.10000000000000009,True,4.838428285334283,2.5495482104460736,0.12957171466571715,0.08545178955392663,single_design_dataset
15,3.795,6.087,-2.292,down,400,0.05,20,11.663999999999998,1.9200000000000004,0.011999999999999744,4.440892098500626e-16,-0.19999999999999574,0.0,True,3.6960770569467205,1.8661623321808283,0.09892294305327942,0.0538376678191721,single_design_dataset
17,3.982,4.877,-0.8949999999999996,down,400,0.05,20,12.315000000000003,2.04,0.008660254037844203,0.0,-0.09999999999999787,0.0,True,3.8654003221715936,1.9673107535461964,0.11659967782840663,0.07268924645380359,single_design_dataset
18,3.247,3.982,-0.7350000000000003,down,400,0.05,20,9.159,1.6000000000000003,0.004358898943540581,2.220446049250313e-16,-0.09999999999999787,0.0,True,3.087313777977605,1.495903897646512,0.1596862220223949,0.10409610235348832,single_design_dataset
19,2.857,3.247,-0.3899999999999997,down,400,0.05,20,7.539999999999999,1.3599999999999999,8.881784197001252e-16,2.220446049250313e-16,0.0,0.0,True,2.706163857149445,1.2713434368830168,0.15083614285055535,0.08865656311698311,single_design_dataset
