analysis_name,hold_id,branch,n_samples,full_modal_n,is_full_hold,hold_duration_s,terminal_tail_n_samples,terminal_tail_start_s,u_previous_v,u_cmd_v,delta_u_v,abs_delta_u_v,voltage_bin_width_v,voltage_bin_lower_v,voltage_bin_upper_v,voltage_bin_center_v,voltage_bin,s_start_mm,s_terminal_mm,p_start_bar,p_terminal_bar,s_terminal_sd_mm,p_terminal_sd_bar,s_terminal_slope_mm_s,p_terminal_slope_bar_s,terminal_stable,eligible_for_repeatability,exclusion_reason,terminal_tail_fraction,min_repeats_per_bin,max_terminal_s_sd_mm,max_terminal_s_slope_mm_s,max_terminal_p_sd_bar,max_terminal_p_slope_bar_s
local_static_map_repeatability,34,up,400,400,TRUE,4,20,3.8000000000000003,4.717,5.046,0.3290000000000006,0.3290000000000006,0.1,5,5.1,5.05,"[5.00, 5.10)",16.02,16.9,2.48,2.68,0,0,2.196747689605865e-14,-4.8485530354860335e-15,TRUE,TRUE,NA,0.05,3,0.6,1.2,0.12,0.25
local_static_map_repeatability,35,up,400,400,TRUE,4,20,3.8000000000000003,5.046,5.709,0.6629999999999994,0.6629999999999994,0.1,5.7,5.8,5.75,"[5.70, 5.80)",16.9,19.92,2.68,3.08,0,0,3.0743680294819027e-14,1.0884504822562292e-16,TRUE,TRUE,NA,0.05,3,0.6,1.2,0.12,0.25
local_static_map_repeatability,36,down,400,400,TRUE,4,20,3.8000000000000003,5.709,3.634,-2.0749999999999997,2.0749999999999997,0.1,3.6,3.7,3.6500000000000004,"[3.60, 3.70)",19.92,10.92,3.08,1.82,0.009176629354822274,0,-0.10827067669173711,-1.9983287459190724e-15,TRUE,TRUE,NA,0.05,3,0.6,1.2,0.12,0.25
local_static_map_repeatability,37,up,400,400,TRUE,4,20,3.8000000000000003,3.634,3.976,0.3420000000000001,0.3420000000000001,0.1,3.9000000000000004,4,3.95,"[3.90, 4.00)",10.9,11.72,1.82,2.04,0,0,1.0912616092192884e-14,3.788399816465446e-15,TRUE,TRUE,NA,0.05,3,0.6,1.2,0.12,0.25
local_static_map_repeatability,38,up,400,400,TRUE,4,20,3.8000000000000003,3.976,4.873,0.8970000000000002,0.8970000000000002,0.1,4.800000000000001,4.9,4.8500000000000005,"[4.80, 4.90)",11.72,15.36,2.04,2.58,0.007326950970650959,0,0.07669172932331439,1.813466974449467e-16,TRUE,TRUE,NA,0.05,3,0.6,1.2,0.12,0.25
local_static_map_repeatability,39,down,400,400,TRUE,4,20,3.8000000000000003,4.873,3.347,-1.5260000000000002,1.5260000000000002,0.1,3.3000000000000003,3.4000000000000004,3.3500000000000005,"[3.30, 3.40)",15.38,9.62,2.58,1.66,0.010208355710680591,0,-0.14887218045113798,7.204403085697546e-16,TRUE,TRUE,NA,0.05,3,0.6,1.2,0.12,0.25
local_static_map_repeatability,40,up,400,400,TRUE,4,20,3.8000000000000003,3.347,3.736,0.38900000000000023,0.38900000000000023,0.1,3.7,3.8000000000000003,3.75,"[3.70, 3.80)",9.6,10.52,1.66,1.88,0,0,-9.933471199503797e-15,1.6303730166767567e-16,TRUE,TRUE,NA,0.05,3,0.6,1.2,0.12,0.25
local_static_map_repeatability,41,down,400,400,TRUE,4,20,3.8000000000000003,3.736,2.013,-1.7230000000000003,1.7230000000000003,0.1,2,2.1,2.05,"[2.00, 2.10)",10.52,4.9,1.88,0.86,0.009787209698592083,0,-0.13684210526315557,-3.874539772800252e-16,TRUE,TRUE,NA,0.05,3,0.6,1.2,0.12,0.25
local_static_map_repeatability,42,up,400,400,TRUE,4,20,3.8000000000000003,2.013,4.638,2.625,2.625,0.1,4.6000000000000005,4.7,4.65,"[4.60, 4.70)",4.88,13.64,0.86,2.44,0,0,1.2616407179488661e-14,1.1328400170331857e-15,TRUE,TRUE,NA,0.05,3,0.6,1.2,0.12,0.25
local_static_map_repeatability,43,down,400,400,TRUE,4,20,3.8000000000000003,4.638,1.982,-2.6559999999999997,2.6559999999999997,0.1,1.9000000000000001,2,1.9500000000000002,"[1.90, 2.00)",13.66,4.76,2.44,0.84,0,0,-4.894233950532574e-15,7.454086006919028e-16,TRUE,TRUE,NA,0.05,3,0.6,1.2,0.12,0.25
local_static_map_repeatability,44,up,400,400,TRUE,4,20,3.8000000000000003,1.982,3.311,1.329,1.329,0.1,3.3000000000000003,3.4000000000000004,3.3500000000000005,"[3.30, 3.40)",4.76,8.14,0.84,1.62,0,0,-1.8119904453866093e-15,5.982774676543772e-16,TRUE,TRUE,NA,0.05,3,0.6,1.2,0.12,0.25
local_static_map_repeatability,45,down,400,400,TRUE,4,20,3.8000000000000003,3.311,2.371,-0.94,0.94,0.1,2.3000000000000003,2.4000000000000004,2.3500000000000005,"[2.30, 2.40)",8.14,5.68,1.62,1.08,0,0,-3.0454395647981488e-15,1.6676779589602378e-15,TRUE,TRUE,NA,0.05,3,0.6,1.2,0.12,0.25
local_static_map_repeatability,46,down,400,400,TRUE,4,20,3.8000000000000003,2.371,1.872,-0.4989999999999999,0.4989999999999999,0.1,1.8,1.9000000000000001,1.85,"[1.80, 1.90)",5.68,4.24,1.08,0.78,0,0,-6.5614062462738086e-15,1.046812865392091e-15,TRUE,TRUE,NA,0.05,3,0.6,1.2,0.12,0.25
local_static_map_repeatability,47,up,400,400,TRUE,4,20,3.8000000000000003,1.872,3.38,1.5079999999999998,1.5079999999999998,0.1,3.3000000000000003,3.4000000000000004,3.3500000000000005,"[3.30, 3.40)",4.24,8.1,0.78,1.68,0.00978720969859165,0,0.136842105263146,1.4908172013838055e-15,TRUE,TRUE,NA,0.05,3,0.6,1.2,0.12,0.25
local_static_map_repeatability,48,down,400,400,TRUE,4,20,3.8000000000000003,3.38,1.526,-1.8539999999999999,1.8539999999999999,0.1,1.5,1.6,1.55,"[1.50, 1.60)",8.12,3.28,1.68,0.56,0,0,-2.637525796203232e-15,9.698027153655102e-16,TRUE,TRUE,NA,0.05,3,0.6,1.2,0.12,0.25
local_static_map_repeatability,49,up,400,400,TRUE,4,20,3.8000000000000003,1.526,4.813,3.287,3.287,0.1,4.800000000000001,4.9,4.8500000000000005,"[4.80, 4.90)",3.28,13.92,0.56,2.54,0.010208355710680591,0,0.13082706766916577,-1.3594070881831554e-15,TRUE,TRUE,NA,0.05,3,0.6,1.2,0.12,0.25
local_static_map_repeatability,50,down,400,400,TRUE,4,20,3.8000000000000003,4.813,1.669,-3.1439999999999997,3.1439999999999997,0.1,1.6,1.7000000000000002,1.6500000000000001,"[1.60, 1.70)",13.94,3.68,2.54,0.65,0.004472135954999583,0.01025978352085155,-0.028571428571422752,0.15037593984962463,TRUE,TRUE,NA,0.05,3,0.6,1.2,0.12,0.25
local_static_map_repeatability,51,up,400,400,TRUE,4,20,3.8000000000000003,1.669,4.066,2.397,2.397,0.1,4,4.1,4.05,"[4.00, 4.10)",3.68,10.68,0.66,2.08,0.00978720969859165,0,0.13684210526316426,2.5384834666427053e-16,TRUE,TRUE,NA,0.05,3,0.6,1.2,0.12,0.25
local_static_map_repeatability,52,up,400,400,TRUE,4,20,3.8000000000000003,4.066,5.064,0.9980000000000002,0.9980000000000002,0.1,5,5.1,5.05,"[5.00, 5.10)",10.68,15.35,2.08,2.68,0.010259783520851322,0,0.1503759398495907,-4.8485530354860335e-15,TRUE,TRUE,NA,0.05,3,0.6,1.2,0.12,0.25
local_static_map_repeatability,53,down,400,400,TRUE,4,20,3.8000000000000003,5.064,2.014,-3.0500000000000003,3.0500000000000003,0.1,2,2.1,2.05,"[2.00, 2.10)",15.36,4.7,2.68,0.86,0.008885233166386591,0,-0.11278195488721915,-3.874539772800252e-16,TRUE,TRUE,NA,0.05,3,0.6,1.2,0.12,0.25
local_static_map_repeatability,54,up,400,400,TRUE,4,20,3.8000000000000003,2.014,2.705,0.6910000000000003,0.6910000000000003,0.1,2.7,2.8000000000000003,2.75,"[2.70, 2.80)",4.68,6.08,0.86,1.26,0,0,-2.863817474804959e-15,2.107173794144695e-15,TRUE,TRUE,NA,0.05,3,0.6,1.2,0.12,0.25
local_static_map_repeatability,55,up,400,400,TRUE,4,20,3.8000000000000003,2.705,4.668,1.963,1.963,0.1,4.6000000000000005,4.7,4.65,"[4.60, 4.70)",6.08,13.34,1.26,2.46,0.004472135954999484,0,0.02857142857139994,-1.903262031724721e-15,TRUE,TRUE,NA,0.05,3,0.6,1.2,0.12,0.25
local_static_map_repeatability,56,down,400,400,TRUE,4,20,3.8000000000000003,4.668,2.508,-2.16,2.16,0.1,2.5,2.6,2.55,"[2.50, 2.60)",13.36,6.1,2.46,1.16,0.009403246919632345,0,-0.12330827067668741,7.929419577890784e-16,TRUE,TRUE,NA,0.05,3,0.6,1.2,0.12,0.25
local_static_map_repeatability,57,down,400,400,TRUE,4,20,3.8000000000000003,2.508,2.133,-0.375,0.375,0.1,2.1,2.2,2.1500000000000004,"[2.10, 2.20)",6.08,4.9,1.16,0.94,0,0,-5.546198008410003e-15,8.151865083383783e-17,TRUE,TRUE,NA,0.05,3,0.6,1.2,0.12,0.25
local_static_map_repeatability,58,down,400,400,TRUE,4,20,3.8000000000000003,2.133,1.656,-0.4770000000000001,0.4770000000000001,0.1,1.6,1.7000000000000002,1.6500000000000001,"[1.60, 1.70)",4.9,3.55,0.94,0.64,0.01025978352085155,0,-0.11428571428571857,-4.64464127306606e-16,TRUE,TRUE,NA,0.05,3,0.6,1.2,0.12,0.25
local_static_map_repeatability,59,up,400,400,TRUE,4,20,3.8000000000000003,1.656,4.739,3.083,3.083,0.1,4.7,4.8,4.75,"[4.70, 4.80)",3.54,13.46,0.64,2.48,0.011239029738980586,0,0.15338345864664701,1.359411749466493e-16,TRUE,TRUE,NA,0.05,3,0.6,1.2,0.12,0.25
local_static_map_repeatability,60,up,400,400,TRUE,4,20,3.8000000000000003,4.739,5.423,0.6840000000000002,0.6840000000000002,0.1,5.4,5.5,5.45,"[5.40, 5.50)",13.48,17.18,2.5,2.9,0.010052493799000478,0,0.14436090225561896,2.0572372099003984e-15,TRUE,TRUE,NA,0.05,3,0.6,1.2,0.12,0.25
local_static_map_repeatability,61,down,400,400,TRUE,4,20,3.8000000000000003,5.423,4.433,-0.9900000000000002,0.9900000000000002,0.1,4.4,4.5,4.45,"[4.40, 4.50)",17.2,13.52,2.9,2.3,0,0,-2.0519091605678293e-14,-2.9909719188078527e-15,TRUE,TRUE,NA,0.05,3,0.6,1.2,0.12,0.25
local_static_map_repeatability,62,up,400,400,TRUE,4,20,3.8000000000000003,4.433,5.897,1.4640000000000004,1.4640000000000004,0.1,5.800000000000001,5.9,5.8500000000000005,"[5.80, 5.90)",13.52,19.94,2.3,3.18,0.009403246919632345,0.00615587011251093,0.12631578947370095,-0.04210526315789614,TRUE,TRUE,NA,0.05,3,0.6,1.2,0.12,0.25
local_static_map_repeatability,63,down,400,400,TRUE,4,20,3.8000000000000003,5.897,4.771,-1.1260000000000003,1.1260000000000003,0.1,4.7,4.8,4.75,"[4.70, 4.80)",19.96,15.56,3.18,2.5,0,0.010208355710680819,-2.6282243776649783e-14,0.03157894736842513,TRUE,TRUE,NA,0.05,3,0.6,1.2,0.12,0.25
local_static_map_repeatability,64,up,400,400,TRUE,4,20,3.8000000000000003,4.771,6.843,2.072,2.072,0.1,6.800000000000001,6.9,6.8500000000000005,"[6.80, 6.90)",15.56,24.96,2.52,3.76,0.014509525002199923,0,0.22556390977441435,3.2607460333535134e-16,TRUE,TRUE,NA,0.05,3,0.6,1.2,0.12,0.25
local_static_map_repeatability,65,down,400,400,TRUE,4,20,3.8000000000000003,6.843,4.691,-2.152,2.152,0.1,4.6000000000000005,4.7,4.65,"[4.60, 4.70)",24.98,15.78,3.76,2.46,0,0,-1.997551205468497e-14,-1.903262031724721e-15,TRUE,TRUE,NA,0.05,3,0.6,1.2,0.12,0.25
