branch,time_since_step_s,elapsed_after_creep_start_s,creep_fraction,selected_model,pressure_plateau_start_s,calibrated_horizon_s,runtime_horizon_s,interval
down,1.12,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,1.1300000000000001,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,1.1400000000000001,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,1.1500000000000001,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,1.16,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,1.17,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,1.18,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,1.19,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,1.2,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,1.21,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,1.22,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,1.23,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,1.24,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,1.25,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,1.26,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,1.27,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,1.28,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,1.29,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,1.3,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,1.31,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,1.32,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,1.33,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,1.34,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,1.35,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,1.36,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,1.37,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,1.3800000000000001,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,1.3900000000000001,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,1.4000000000000001,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,1.41,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,1.42,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,1.43,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,1.44,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,1.45,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,1.46,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,1.47,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,1.48,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,1.49,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,1.5,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,1.51,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,1.52,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,1.53,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,1.54,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,1.55,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,1.56,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,1.57,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,1.58,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,1.59,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,1.6,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,1.61,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,1.62,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,1.6300000000000001,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,1.6400000000000001,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,1.6500000000000001,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,1.6600000000000001,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,1.67,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,1.68,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,1.69,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,1.7,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,1.71,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,1.72,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,1.73,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,1.74,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,1.75,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,1.76,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,1.77,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,1.78,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,1.79,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,1.8,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,1.81,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,1.82,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,1.83,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,1.84,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,1.85,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,1.86,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,1.87,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,1.8800000000000001,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,1.8900000000000001,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,1.9000000000000001,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,1.9100000000000001,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,1.92,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,1.93,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
