source_file,controller,filename_branch,inferred_branch,filename_branch_mismatch,segment_id,xref_mm,n_samples,duration_s,tail_n_samples,median_dt_ms,u_ss_v,s_ss_mm,p_ss_bar,tracking_error_mm,abs_tracking_error_mm,u_tail_sd_v,s_tail_sd_mm,p_tail_sd_bar,u_tail_slope_v_s,s_tail_slope_mm_s,p_tail_slope_bar_s,matched_s_ref_mm,match_distance_mm,original_u_ff_v,original_p_ff_bar,exclusion_reason,keep_for_corrected_lookup,raw_u_correction_v,raw_p_correction_bar
LQI_no_vel_lookup_down_post_correction_experiment.csv,LQI_no_vel,down,down,FALSE,43,24.261,400,4,100,10,5.579,25.08,3.02,0.8189999999999991,0.8189999999999991,4.6882617226189083e-4,0,0,-0.0012937293729366746,0,0,24.260603015075375,3.969849246239221e-4,6.115068589688622,3.3944283321294932,NA,TRUE,-0.5360685896886226,-0.3744283321294932
LQI_no_vel_lookup_down_post_correction_experiment.csv,LQI_no_vel,down,down,FALSE,44,24.127,400,4,100,10,5.545,24.9,3,0.7729999999999997,0.7729999999999997,0.002808716591058929,0.006289320754704268,0,0.003912391239124199,-0.01126912691269375,0,24.126934673366833,6.53266331660518e-5,6.063421283703537,3.3655661845102185,NA,TRUE,-0.5184212837035371,-0.3655661845102185
LQI_no_vel_lookup_down_post_correction_experiment.csv,LQI_no_vel,down,down,FALSE,45,23.993,400,4,100,10,5.464,24.82,2.98,0.8270000000000017,0.8270000000000017,4.923659639170581e-4,0,0,-0.0014281428142800875,0,0,23.99326633165829,2.663316582918185e-4,6.014123321489656,3.3386274319638045,NA,TRUE,-0.5501233214896555,-0.35862743196380453
LQI_no_vel_lookup_down_post_correction_experiment.csv,LQI_no_vel,down,down,FALSE,46,23.86,400,4,100,10,5.504,24.5,2.96,0.6400000000000006,0.6400000000000006,3.265986323711995e-4,0,0,-6.08460846085732e-4,0,0,23.859597989949748,4.0201005025153336e-4,5.967252317234696,3.3136656347949107,NA,TRUE,-0.46325231723469606,-0.35366563479491075
LQI_no_vel_lookup_down_post_correction_experiment.csv,LQI_no_vel,down,down,FALSE,47,23.726,400,4,100,10,5.389,24.5,2.96,0.7740000000000009,0.7740000000000009,2.5643239997632844e-4,0,0,-3.726372637267851e-4,0,0,23.725929648241205,7.035175879366307e-5,5.922808270938655,3.2906807930035367,NA,TRUE,-0.5338082709386551,-0.3306807930035367
LQI_no_vel_lookup_down_post_correction_experiment.csv,LQI_no_vel,down,down,FALSE,48,23.592,400,4,100,10,5.435,24.2,2.92,0.6080000000000005,0.6080000000000005,4.2923469599107116e-4,0,0,-0.0010693069306942002,0,0,23.592261306532663,2.613065326642072e-4,5.889938184288497,3.272216204827893,NA,TRUE,-0.45493818428849764,-0.3522162048278932
LQI_no_vel_lookup_down_post_correction_experiment.csv,LQI_no_vel,down,down,FALSE,49,23.459,400,4,100,10,5.362,24.2,2.92,0.7409999999999997,0.7409999999999997,4.988876515700255e-4,0,0,-0.0014533453345336933,0,0,23.45859296482412,4.070351758791446e-4,5.885847378316332,3.261545103669609,NA,TRUE,-0.523847378316332,-0.3415451036696089
LQI_no_vel_lookup_down_post_correction_experiment.csv,LQI_no_vel,down,down,FALSE,50,23.325,400,4,100,10,5.382,24.02,2.9,0.6950000000000003,0.6950000000000003,2.190429135574689e-4,0,0,-2.6702670267093924e-4,0,0,23.324924623115574,7.537688442482704e-5,5.885847378316332,3.261545103669609,NA,TRUE,-0.5038473783163324,-0.3615451036696089
LQI_no_vel_lookup_down_post_correction_experiment.csv,LQI_no_vel,down,down,FALSE,51,23.191,400,4,100,10,5.323,24,2.9,0.809000000000001,0.809000000000001,0.00455355339101745,0.009847319278346409,0,0.012736273627361157,-0.028658865886594373,0,23.191256281407036,2.5628140703659597e-4,5.885847378316332,3.261545103669609,NA,TRUE,-0.5628473783163317,-0.3615451036696089
LQI_no_vel_lookup_down_post_correction_experiment.csv,LQI_no_vel,down,down,FALSE,52,23.058,400,4,100,10,5.293,23.92,2.88,0.8620000000000019,0.8620000000000019,4.988876515695823e-4,0,0,-0.0014665466546647037,0,0,23.057587939698493,4.120603015067559e-4,5.885847378316332,3.261545103669609,NA,TRUE,-0.5928473783163319,-0.3815451036696089
LQI_no_vel_lookup_down_post_correction_experiment.csv,LQI_no_vel,down,down,FALSE,53,22.924,400,4,100,10,5.333,23.7,2.86,0.7759999999999998,0.7759999999999998,3.77525168068763e-4,0,0,-8.28682868287353e-4,0,0,22.92391959798995,8.040201004888559e-5,5.885847378316332,3.261545103669609,NA,TRUE,-0.5528473783163319,-0.40154510366960894
LQI_no_vel_lookup_down_post_correction_experiment.csv,LQI_no_vel,down,down,FALSE,54,22.79,400,4,100,10,5.263,23.7,2.86,0.9100000000000001,0.9100000000000001,4.093601807404691e-4,0,0,-9.77497749774974e-4,0,0,22.790251256281408,2.512562814089847e-4,5.885847378316332,3.261545103669609,NA,TRUE,-0.6228473783163322,-0.40154510366960894
LQI_no_vel_lookup_down_post_correction_experiment.csv,LQI_no_vel,down,down,FALSE,55,22.657,400,4,100,10,5.292,23.5,2.84,0.843,0.843,0.004417355578061159,0.009704731741877987,0,0.012693069306928916,-0.027974797479750402,0,22.656582914572866,4.1708542713436714e-4,5.885847378316332,3.261545103669609,NA,TRUE,-0.5938473783163323,-0.42154510366960896
