branch,time_since_step_s,elapsed_after_creep_start_s,creep_fraction,selected_model,pressure_plateau_start_s,calibrated_horizon_s,runtime_horizon_s,interval
up,0.87,0.56,0.10958739288347252,single_exponential,0.31,3.99,3.99,calibrated_open_loop_hold
up,0.88,0.5700000000000001,0.10849444268147743,single_exponential,0.31,3.99,3.99,calibrated_open_loop_hold
up,0.89,0.5800000000000001,0.10741239282223719,single_exponential,0.31,3.99,3.99,calibrated_open_loop_hold
up,0.9,0.5900000000000001,0.10634113459313893,single_exponential,0.31,3.99,3.99,calibrated_open_loop_hold
up,0.91,0.6000000000000001,0.1052805603657956,single_exponential,0.31,3.99,3.99,calibrated_open_loop_hold
up,0.92,0.6100000000000001,0.10423056358523247,single_exponential,0.31,3.99,3.99,calibrated_open_loop_hold
up,0.93,0.6200000000000001,0.10319103875918177,single_exponential,0.31,3.99,3.99,calibrated_open_loop_hold
up,0.9400000000000001,0.6300000000000001,0.1021618814474839,single_exponential,0.31,3.99,3.99,calibrated_open_loop_hold
up,0.9500000000000001,0.6400000000000001,0.1011429882515945,single_exponential,0.31,3.99,3.99,calibrated_open_loop_hold
up,0.96,0.6499999999999999,0.10013425680419606,single_exponential,0.31,3.99,3.99,calibrated_open_loop_hold
up,0.97,0.6599999999999999,0.09913558575891308,single_exponential,0.31,3.99,3.99,calibrated_open_loop_hold
up,0.98,0.6699999999999999,0.09814687478012997,single_exponential,0.31,3.99,3.99,calibrated_open_loop_hold
up,0.99,0.6799999999999999,0.09716802453291044,single_exponential,0.31,3.99,3.99,calibrated_open_loop_hold
up,1,0.69,0.09619893667301735,single_exponential,0.31,3.99,3.99,calibrated_open_loop_hold
up,1.01,0.7,0.09523951383703212,single_exponential,0.31,3.99,3.99,calibrated_open_loop_hold
up,1.02,0.71,0.09428965963257281,single_exponential,0.31,3.99,3.99,calibrated_open_loop_hold
up,1.03,0.72,0.0933492786286096,single_exponential,0.31,3.99,3.99,calibrated_open_loop_hold
up,1.04,0.73,0.09241827634587692,single_exponential,0.31,3.99,3.99,calibrated_open_loop_hold
up,1.05,0.74,0.0914965592473812,single_exponential,0.31,3.99,3.99,calibrated_open_loop_hold
up,1.06,0.75,0.09058403472900328,single_exponential,0.31,3.99,3.99,calibrated_open_loop_hold
up,1.07,0.76,0.0896806111101946,single_exponential,0.31,3.99,3.99,calibrated_open_loop_hold
up,1.08,0.77,0.08878619762476607,single_exponential,0.31,3.99,3.99,calibrated_open_loop_hold
up,1.09,0.78,0.08790070441176895,single_exponential,0.31,3.99,3.99,calibrated_open_loop_hold
