xref[mm],s[mm],p[bar],u[V],t[ms] 
5.000,1.935,4.040,0.820,10.000
5.000,1.932,4.040,0.820,10.000
5.000,1.935,4.040,0.820,10.000
5.000,1.932,4.040,0.820,10.000
5.000,1.936,4.040,0.820,10.000
5.000,1.933,4.040,0.820,10.000
5.000,1.936,4.040,0.820,10.000
5.000,1.933,4.040,0.820,10.000
5.000,1.937,4.040,0.820,10.000
5.000,1.934,4.040,0.820,10.000
5.000,1.937,4.040,0.820,10.000
5.000,1.934,4.040,0.820,10.000
5.000,1.937,4.040,0.820,10.000
5.000,1.935,4.040,0.820,10.000
5.000,1.938,4.040,0.820,10.000
5.000,1.935,4.040,0.820,10.000
5.000,1.938,4.040,0.820,10.000
5.000,1.936,4.040,0.820,10.000
5.000,1.939,4.040,0.820,10.000
5.000,1.936,4.040,0.820,10.000
5.000,1.939,4.040,0.820,10.000
5.000,1.937,4.040,0.820,10.000
5.000,1.939,4.040,0.820,10.000
5.000,1.937,4.040,0.820,10.000
5.000,1.940,4.040,0.820,10.000
5.000,1.937,4.040,0.820,10.000
5.000,1.940,4.040,0.820,10.000
5.000,1.938,4.040,0.820,10.000
5.000,1.941,4.040,0.820,10.000
5.000,1.938,4.040,0.820,10.000
5.000,1.941,4.040,0.820,10.000
5.000,1.939,4.040,0.820,10.000
5.000,1.941,4.040,0.820,10.000
5.000,1.939,4.040,0.820,10.000
5.000,1.942,4.040,0.820,10.000
5.000,1.940,4.040,0.820,10.000
5.000,1.942,4.040,0.820,10.000
5.000,1.940,4.040,0.820,10.000
5.000,1.943,4.040,0.820,10.000
5.000,1.940,4.040,0.820,10.000
5.000,1.943,4.040,0.820,10.000
5.000,1.941,4.040,0.820,10.000
5.000,1.943,4.040,0.820,10.000
5.000,1.941,4.040,0.820,10.000
5.000,1.944,4.040,0.820,10.000
5.000,1.942,4.040,0.820,10.000
5.000,1.944,4.040,0.820,10.000
5.000,1.942,4.040,0.820,10.000
5.000,1.945,4.040,0.820,10.000
5.000,1.943,4.040,0.820,10.000
5.000,1.945,4.040,0.820,10.000
5.000,1.943,4.040,0.820,10.000
5.000,1.945,4.040,0.820,10.000
5.000,1.943,4.040,0.820,10.000
5.000,1.946,4.040,0.820,10.000
5.000,1.944,4.040,0.820,10.000
5.000,1.946,4.040,0.820,10.000
5.000,1.944,4.040,0.820,10.000
5.000,1.946,4.040,0.820,10.000
5.000,1.945,4.040,0.820,10.000
5.000,1.947,4.040,0.820,10.000
5.000,1.945,4.040,0.820,10.000
5.000,1.947,4.040,0.820,10.000
5.000,1.945,4.040,0.820,10.000
5.000,1.948,4.040,0.820,10.000
5.000,1.946,4.060,0.820,10.000
5.000,1.938,4.060,0.820,10.000
5.000,1.936,4.060,0.820,10.000
5.000,1.938,4.060,0.820,10.000
5.000,1.936,4.060,0.820,10.000
5.000,1.939,4.060,0.820,10.000
5.000,1.937,4.060,0.820,10.000
5.000,1.939,4.060,0.820,10.000
5.000,1.937,4.060,0.820,10.000
5.000,1.939,4.060,0.820,10.000
5.000,1.937,4.060,0.820,10.000
5.000,1.939,4.060,0.820,10.000
5.000,1.938,4.060,0.820,10.000
5.000,1.940,4.060,0.820,10.000
5.000,1.938,4.060,0.820,10.000
5.000,1.940,4.060,0.820,10.000
5.000,1.938,4.060,0.820,10.000
5.000,1.940,4.060,0.820,10.000
5.000,1.939,4.060,0.820,10.000
5.000,1.940,4.060,0.820,10.000
5.000,1.939,4.060,0.820,10.000
5.000,1.941,4.060,0.820,10.000
5.000,1.939,4.060,0.820,10.000
5.000,1.941,4.060,0.820,10.000
5.000,1.939,4.060,0.820,10.000
5.000,1.941,4.060,0.820,10.000
5.000,1.940,4.060,0.820,10.000
5.000,1.941,4.060,0.820,10.000
5.000,1.940,4.060,0.820,10.000
5.000,1.941,4.060,0.820,10.000
5.000,1.940,4.060,0.820,10.000
5.000,1.942,4.060,0.820,10.000
5.000,1.940,4.060,0.820,10.000
5.000,1.942,4.060,0.820,10.000
5.000,1.941,4.060,0.820,10.000
5.000,1.942,4.060,0.820,10.000
5.000,1.941,4.060,0.820,10.000
5.000,1.942,4.060,0.820,10.000
