u[V],p[bar],s[mm] 
3.900,2.084,14.355
3.800,2.071,14.258
3.700,1.949,13.037
3.600,1.945,13.037
3.500,1.873,12.598
3.400,1.761,11.523
3.300,1.756,11.426
3.200,1.689,11.035
3.100,1.577,9.912
3.000,1.572,9.814
2.900,1.505,9.473
2.800,1.393,8.545
2.700,1.388,8.447
2.600,1.330,8.203
2.500,1.208,7.275
2.400,1.208,7.227
2.300,1.141,6.982
2.200,1.020,6.055
2.100,1.024,6.006
2.000,0.966,5.811
1.900,0.831,5.029
1.800,0.827,4.932
1.700,0.782,4.785
1.600,0.652,4.053
1.500,0.652,4.004
1.400,0.607,3.857
1.300,0.477,3.174
1.200,0.477,3.125
1.100,0.394,2.588
1.000,0.397,2.637
0.900,0.373,2.490
0.800,0.273,1.855
0.700,0.276,1.855
0.600,0.252,1.758
0.500,0.175,1.318
0.400,0.163,1.270
0.300,0.107,0.977
0.200,0.077,0.781
0.100,-0.003,0.488
0.000,0.000,0.000
0.100,0.000,0.000
0.200,0.027,0.000
0.300,0.080,0.049
0.400,0.131,0.195
0.500,0.172,0.342
0.600,0.208,0.488
0.700,0.249,0.684
0.800,0.288,0.781
0.900,0.335,0.928
1.000,0.373,1.074
1.100,0.415,1.318
1.200,0.453,1.465
1.300,0.495,1.709
1.400,0.548,1.855
1.500,0.611,2.051
1.600,0.670,2.246
1.700,0.733,2.539
1.800,0.795,2.686
1.900,0.854,2.930
2.000,0.921,3.223
2.100,0.980,3.467
2.200,1.047,3.662
2.300,1.101,4.004
2.400,1.168,4.248
2.500,1.231,4.541
2.600,1.289,4.785
2.700,1.352,5.176
2.800,1.415,5.371
2.900,1.478,5.859
3.000,1.532,6.055
3.100,1.604,6.494
3.200,1.657,6.738
3.300,1.711,7.275
3.400,1.774,7.520
3.500,1.824,7.910
3.600,1.895,8.350
3.700,1.954,8.740
3.800,2.012,9.229
3.900,2.075,9.570
4.000,2.133,10.059
4.100,2.196,10.547
4.200,2.259,10.938
4.300,2.322,11.670
4.400,2.371,11.963
4.500,2.439,12.695
4.600,2.506,13.184
4.700,2.551,13.574
4.800,2.627,14.355
4.900,2.663,14.746
5.000,2.762,15.674
5.100,2.802,16.211
5.200,2.856,16.553
5.300,2.946,17.627
5.400,3.009,18.262
5.500,3.058,18.652
5.600,3.135,19.385
5.700,3.193,20.068
5.800,3.251,20.508
5.900,3.314,21.240
6.000,3.368,21.826
6.100,3.431,22.314
6.200,3.512,23.145
6.300,3.561,23.730
6.400,3.637,24.512
6.500,3.678,24.951
6.600,3.768,25.537
6.700,3.804,26.123
6.800,3.884,26.904
6.900,3.920,27.148
7.000,3.992,27.930
7.100,4.042,28.271
7.200,4.113,28.906
7.300,4.167,29.346
7.400,4.239,29.932
7.500,4.279,30.322
7.600,4.356,30.762
7.700,4.410,31.250
7.800,4.477,31.641
7.900,4.531,32.227
8.000,4.598,32.568
8.100,4.657,33.105
8.200,4.710,33.447
8.300,4.773,33.936
8.400,4.832,34.229
8.500,4.899,34.766
8.600,4.953,35.010
8.700,5.020,35.547
8.800,5.083,35.889
8.900,5.146,36.328
9.000,5.177,36.523
9.100,5.245,36.914
9.200,5.245,36.914
9.300,5.240,36.963
9.400,5.240,37.012
9.500,5.236,37.012
9.600,5.236,37.012
9.700,5.240,37.061
9.800,5.240,37.061
9.900,5.236,37.061
10.000,5.231,37.109
10.100,5.236,37.109
10.000,5.231,37.109
9.900,5.236,37.109
9.800,5.231,37.158
9.700,5.236,37.158
9.600,5.231,37.207
9.500,5.231,37.207
9.400,5.231,37.207
9.300,5.222,37.207
9.200,5.231,37.207
9.100,5.227,37.256
9.000,5.231,37.256
8.900,5.204,37.256
8.800,5.115,37.158
8.700,5.079,37.109
8.600,5.002,36.816
8.500,4.966,36.719
8.400,4.868,36.328
8.300,4.841,36.182
8.200,4.751,35.840
8.100,4.719,35.693
8.000,4.625,35.303
7.900,4.598,35.156
7.800,4.482,34.570
7.700,4.464,34.521
7.600,4.383,34.033
7.500,4.351,33.936
7.400,4.239,33.252
7.300,4.221,33.154
7.200,4.109,32.471
7.100,4.086,32.422
7.000,3.974,31.738
6.900,3.970,31.641
6.800,3.857,31.006
6.700,3.844,30.811
6.600,3.727,30.176
6.500,3.718,29.883
6.400,3.619,29.346
6.300,3.602,29.053
6.200,3.498,28.418
6.100,3.462,27.930
6.000,3.395,27.539
5.900,3.332,26.904
5.800,3.283,26.563
5.700,3.202,25.635
5.600,3.175,25.488
5.500,3.045,24.365
5.400,3.040,24.219
5.300,2.946,23.633
5.200,2.901,22.900
5.100,2.847,22.510
5.000,2.784,21.729
4.900,2.722,21.143
4.800,2.654,20.654
4.700,2.605,19.873
4.600,2.533,19.141
4.500,2.475,18.555
4.400,2.407,18.018
4.300,2.353,17.236
4.200,2.304,16.895
4.100,2.223,15.869
4.000,2.178,15.479
3.900,2.084,14.355
