xref[mm],s[mm],p[bar],u[V],t[ms] 
10.000,6.043,4.020,0.820,10.000
10.000,6.043,4.020,0.820,10.000
10.000,6.043,4.020,0.840,10.000
10.000,6.040,4.100,0.880,10.000
10.000,5.997,4.340,0.940,10.000
10.000,5.874,4.560,1.020,10.000
10.000,5.758,4.860,1.100,10.000
10.000,5.603,5.160,1.160,10.000
10.000,5.451,5.460,1.240,10.000
10.000,5.297,5.780,1.320,10.000
10.000,5.133,6.120,1.380,10.000
10.000,4.962,6.480,1.460,10.000
10.000,4.778,6.840,1.520,10.000
10.000,4.598,7.180,1.600,10.000
10.000,4.424,7.560,1.660,10.000
10.000,4.234,7.940,1.720,10.000
10.000,4.043,8.320,1.800,10.000
10.000,3.850,8.700,1.860,10.000
10.000,3.660,9.100,1.920,10.000
10.000,3.460,9.500,1.960,10.000
10.000,3.263,9.780,2.000,10.000
10.000,3.123,9.900,2.000,10.000
10.000,3.066,9.940,2.000,10.000
10.000,3.018,9.940,2.000,10.000
10.000,3.018,9.940,1.980,10.000
10.000,3.021,9.940,1.980,10.000
10.000,3.022,9.940,1.960,10.000
10.000,3.025,9.940,1.960,10.000
10.000,3.025,9.940,1.960,10.000
10.000,3.026,9.940,1.940,10.000
10.000,3.029,9.920,1.900,10.000
10.000,3.073,9.720,1.860,10.000
10.000,3.175,9.540,1.820,10.000
10.000,3.268,9.360,1.780,10.000
10.000,3.360,9.180,1.740,10.000
10.000,3.453,9.140,1.740,10.000
10.000,3.473,9.120,1.720,10.000
10.000,3.486,9.120,1.720,10.000
10.000,3.487,9.120,1.720,10.000
10.000,3.488,9.120,1.720,10.000
10.000,3.489,9.120,1.720,10.000
10.000,3.490,9.120,1.720,10.000
10.000,3.491,9.120,1.720,10.000
10.000,3.492,9.100,1.720,10.000
10.000,3.502,9.100,1.720,10.000
10.000,3.503,9.100,1.720,10.000
10.000,3.504,9.100,1.720,10.000
10.000,3.505,9.100,1.720,10.000
10.000,3.506,9.100,1.740,10.000
10.000,3.504,9.100,1.740,10.000
10.000,3.505,9.100,1.740,10.000
10.000,3.506,9.120,1.740,10.000
10.000,3.497,9.120,1.760,10.000
10.000,3.495,9.140,1.760,10.000
10.000,3.486,9.140,1.760,10.000
10.000,3.487,9.140,1.760,10.000
10.000,3.487,9.140,1.760,10.000
10.000,3.488,9.140,1.760,10.000
10.000,3.488,9.160,1.760,10.000
10.000,3.479,9.160,1.760,10.000
10.000,3.480,9.160,1.760,10.000
10.000,3.480,9.160,1.760,10.000
10.000,3.480,9.160,1.740,10.000
10.000,3.483,9.160,1.740,10.000
10.000,3.483,9.160,1.740,10.000
10.000,3.483,9.160,1.740,10.000
10.000,3.483,9.160,1.740,10.000
10.000,3.483,9.160,1.740,10.000
10.000,3.483,9.160,1.740,10.000
10.000,3.483,9.160,1.740,10.000
10.000,3.483,9.180,1.740,10.000
10.000,3.474,9.180,1.740,10.000
10.000,3.474,9.180,1.740,10.000
10.000,3.474,9.180,1.740,10.000
10.000,3.473,9.180,1.740,10.000
10.000,3.473,9.180,1.740,10.000
10.000,3.473,9.180,1.740,10.000
10.000,3.473,9.180,1.740,10.000
10.000,3.473,9.180,1.740,10.000
10.000,3.473,9.180,1.740,10.000
10.000,3.472,9.180,1.740,10.000
10.000,3.472,9.180,1.740,10.000
10.000,3.472,9.180,1.740,10.000
10.000,3.472,9.200,1.740,10.000
10.000,3.462,9.200,1.740,10.000
10.000,3.462,9.200,1.740,10.000
10.000,3.461,9.200,1.740,10.000
10.000,3.461,9.200,1.740,10.000
10.000,3.461,9.200,1.740,10.000
10.000,3.461,9.200,1.740,10.000
10.000,3.460,9.200,1.740,10.000
10.000,3.460,9.220,1.740,10.000
10.000,3.450,9.220,1.740,10.000
10.000,3.450,9.220,1.740,10.000
10.000,3.450,9.220,1.740,10.000
10.000,3.449,9.220,1.740,10.000
10.000,3.449,9.220,1.740,10.000
10.000,3.449,9.220,1.740,10.000
10.000,3.449,9.220,1.740,10.000
10.000,3.448,9.220,1.740,10.000
10.000,3.448,9.220,1.740,10.000
10.000,3.448,9.240,1.740,10.000
10.000,3.438,9.240,1.740,10.000
10.000,3.438,9.240,1.740,10.000
10.000,3.437,9.240,1.740,10.000
10.000,3.437,9.240,1.740,10.000
10.000,3.437,9.240,1.740,10.000
10.000,3.437,9.240,1.740,10.000
10.000,3.436,9.240,1.740,10.000
10.000,3.436,9.240,1.740,10.000
10.000,3.436,9.240,1.740,10.000
10.000,3.436,9.240,1.740,10.000
10.000,3.435,9.260,1.740,10.000
10.000,3.425,9.260,1.740,10.000
10.000,3.425,9.260,1.740,10.000
10.000,3.425,9.260,1.740,10.000
10.000,3.425,9.260,1.740,10.000
10.000,3.424,9.260,1.740,10.000
10.000,3.424,9.260,1.740,10.000
10.000,3.424,9.260,1.740,10.000
10.000,3.424,9.260,1.740,10.000
10.000,3.423,9.260,1.740,10.000
10.000,3.423,9.280,1.740,10.000
10.000,3.413,9.280,1.740,10.000
10.000,3.413,9.280,1.740,10.000
10.000,3.413,9.280,1.740,10.000
