xref[mm],s[mm],p[bar],u[V],t[ms] 
10.000,6.155,3.760,0.920,10.000
10.000,6.155,3.760,0.920,10.000
10.000,6.155,3.760,0.920,10.000
10.000,6.155,3.820,0.960,10.000
10.000,6.123,4.040,1.020,10.000
10.000,6.011,4.220,1.100,10.000
10.000,5.917,4.500,1.180,10.000
10.000,5.775,4.760,1.240,10.000
10.000,5.643,5.040,1.320,10.000
10.000,5.501,5.320,1.400,10.000
10.000,5.359,5.620,1.480,10.000
10.000,5.206,5.940,1.540,10.000
10.000,5.046,6.240,1.620,10.000
10.000,4.894,6.560,1.680,10.000
10.000,4.733,6.880,1.740,10.000
10.000,4.573,7.220,1.820,10.000
10.000,4.401,7.560,1.880,10.000
10.000,4.231,7.920,1.940,10.000
10.000,4.051,8.280,2.020,10.000
10.000,3.870,8.640,2.080,10.000
10.000,3.690,9.000,2.120,10.000
10.000,3.512,9.220,2.140,10.000
10.000,3.403,9.300,2.140,10.000
10.000,3.364,9.340,2.140,10.000
10.000,3.345,9.340,2.140,10.000
10.000,3.345,9.340,2.120,10.000
10.000,3.347,9.340,2.120,10.000
10.000,3.347,9.340,2.100,10.000
10.000,3.348,9.340,2.100,10.000
10.000,3.348,9.340,2.080,10.000
10.000,3.350,9.340,2.060,10.000
10.000,3.351,9.220,2.020,10.000
10.000,3.413,9.020,1.980,10.000
10.000,3.513,8.900,1.940,10.000
10.000,3.575,8.840,1.920,10.000
10.000,3.606,8.820,1.920,10.000
10.000,3.616,8.820,1.920,10.000
10.000,3.616,8.820,1.900,10.000
10.000,3.617,8.800,1.900,10.000
10.000,3.627,8.800,1.900,10.000
10.000,3.627,8.800,1.900,10.000
10.000,3.627,8.800,1.900,10.000
10.000,3.627,8.780,1.900,10.000
10.000,3.637,8.780,1.900,10.000
10.000,3.637,8.780,1.900,10.000
10.000,3.637,8.780,1.900,10.000
10.000,3.637,8.780,1.880,10.000
10.000,3.638,8.780,1.880,10.000
10.000,3.638,8.760,1.880,10.000
10.000,3.648,8.760,1.880,10.000
10.000,3.648,8.760,1.880,10.000
10.000,3.648,8.760,1.880,10.000
10.000,3.648,8.740,1.880,10.000
10.000,3.658,8.740,1.880,10.000
10.000,3.658,8.740,1.860,10.000
10.000,3.660,8.740,1.860,10.000
10.000,3.660,8.720,1.860,10.000
10.000,3.669,8.720,1.860,10.000
10.000,3.669,8.720,1.860,10.000
10.000,3.669,8.720,1.860,10.000
10.000,3.669,8.700,1.860,10.000
10.000,3.679,8.700,1.860,10.000
10.000,3.679,8.700,1.840,10.000
10.000,3.681,8.700,1.840,10.000
10.000,3.681,8.700,1.840,10.000
10.000,3.681,8.680,1.840,10.000
10.000,3.690,8.680,1.840,10.000
10.000,3.690,8.680,1.840,10.000
10.000,3.691,8.680,1.840,10.000
10.000,3.691,8.680,1.840,10.000
10.000,3.691,8.680,1.840,10.000
10.000,3.691,8.680,1.860,10.000
10.000,3.689,8.680,1.860,10.000
10.000,3.689,8.680,1.860,10.000
10.000,3.689,8.680,1.860,10.000
10.000,3.689,8.680,1.860,10.000
10.000,3.689,8.680,1.860,10.000
10.000,3.689,8.680,1.860,10.000
10.000,3.689,8.680,1.860,10.000
10.000,3.689,8.680,1.860,10.000
10.000,3.689,8.680,1.860,10.000
10.000,3.689,8.680,1.860,10.000
10.000,3.689,8.680,1.860,10.000
10.000,3.689,8.680,1.860,10.000
10.000,3.689,8.680,1.860,10.000
10.000,3.689,8.680,1.860,10.000
10.000,3.689,8.680,1.860,10.000
10.000,3.689,8.680,1.860,10.000
10.000,3.689,8.680,1.860,10.000
10.000,3.689,8.680,1.860,10.000
10.000,3.689,8.680,1.860,10.000
10.000,3.689,8.680,1.860,10.000
10.000,3.689,8.680,1.860,10.000
10.000,3.689,8.680,1.860,10.000
10.000,3.689,8.680,1.860,10.000
10.000,3.689,8.680,1.860,10.000
10.000,3.689,8.680,1.860,10.000
10.000,3.689,8.680,1.860,10.000
10.000,3.689,8.680,1.860,10.000
10.000,3.689,8.680,1.860,10.000
10.000,3.689,8.680,1.860,10.000
10.000,3.689,8.700,1.860,10.000
10.000,3.680,8.700,1.860,10.000
10.000,3.680,8.700,1.860,10.000
10.000,3.680,8.700,1.860,10.000
10.000,3.680,8.720,1.860,10.000
10.000,3.670,8.720,1.860,10.000
10.000,3.670,8.720,1.860,10.000
10.000,3.670,8.720,1.860,10.000
10.000,3.670,8.720,1.860,10.000
10.000,3.670,8.720,1.860,10.000
10.000,3.670,8.740,1.860,10.000
10.000,3.660,8.740,1.860,10.000
10.000,3.661,8.740,1.860,10.000
10.000,3.661,8.740,1.860,10.000
10.000,3.661,8.740,1.860,10.000
10.000,3.661,8.740,1.860,10.000
10.000,3.661,8.740,1.860,10.000
10.000,3.661,8.740,1.860,10.000
10.000,3.661,8.760,1.860,10.000
10.000,3.651,8.760,1.860,10.000
10.000,3.651,8.760,1.860,10.000
10.000,3.651,8.760,1.860,10.000
10.000,3.651,8.760,1.860,10.000
10.000,3.651,8.760,1.860,10.000
10.000,3.651,8.760,1.860,10.000
10.000,3.651,8.760,1.860,10.000
