xref[mm],s[mm],p[bar],u[V],t[ms] 
4.395,1.692,3.140,0.680,10.000
4.395,1.669,3.140,0.680,10.000
4.395,1.692,3.140,0.680,10.000
4.395,1.669,3.140,0.680,10.000
4.395,1.692,3.140,0.680,10.000
4.395,1.669,3.140,0.680,10.000
4.395,1.692,3.140,0.680,10.000
4.395,1.669,3.140,0.680,10.000
4.395,1.692,3.140,0.680,10.000
4.395,1.669,3.140,0.680,10.000
4.395,1.692,3.140,0.680,10.000
4.395,1.669,3.140,0.680,10.000
4.395,1.692,3.140,0.680,10.000
4.395,1.669,3.140,0.680,10.000
4.395,1.692,3.160,0.680,10.000
4.395,1.660,3.140,0.680,10.000
4.395,1.692,3.140,0.680,10.000
4.395,1.669,3.140,0.680,10.000
4.395,1.692,3.140,0.680,10.000
4.395,1.669,3.160,0.680,10.000
4.395,1.683,3.140,0.680,10.000
4.395,1.669,3.140,0.680,10.000
4.395,1.692,3.140,0.680,10.000
4.395,1.669,3.140,0.680,10.000
4.395,1.692,3.140,0.680,10.000
4.395,1.669,3.140,0.680,10.000
4.395,1.692,3.140,0.680,10.000
4.395,1.669,3.160,0.680,10.000
4.395,1.683,3.160,0.680,10.000
4.395,1.660,3.140,0.680,10.000
4.395,1.692,3.140,0.680,10.000
4.395,1.669,3.140,0.680,10.000
4.395,1.692,3.140,0.680,10.000
4.395,1.669,3.140,0.680,10.000
4.395,1.692,3.140,0.680,10.000
4.395,1.669,3.140,0.680,10.000
4.395,1.692,3.140,0.680,10.000
4.395,1.669,3.140,0.680,10.000
4.395,1.692,3.160,0.680,10.000
4.395,1.660,3.160,0.680,10.000
4.395,1.683,3.160,0.680,10.000
4.395,1.660,3.140,0.680,10.000
4.395,1.692,3.140,0.680,10.000
4.395,1.669,3.140,0.680,10.000
4.395,1.692,3.140,0.680,10.000
4.395,1.669,3.160,0.680,10.000
4.395,1.683,3.160,0.680,10.000
4.395,1.660,3.160,0.680,10.000
4.395,1.683,3.160,0.680,10.000
4.395,1.660,3.160,0.680,10.000
4.395,1.683,3.160,0.680,10.000
4.395,1.660,3.160,0.680,10.000
4.395,1.683,3.160,0.680,10.000
4.395,1.660,3.160,0.680,10.000
4.395,1.683,3.160,0.680,10.000
4.395,1.660,3.140,0.680,10.000
4.395,1.692,3.140,0.680,10.000
4.395,1.670,3.140,0.680,10.000
4.395,1.692,3.160,0.680,10.000
4.395,1.660,3.160,0.680,10.000
4.395,1.683,3.160,0.680,10.000
